,EarningsYield_zscore,GrossProfitability_zscore,AssetGrowth_zscore,Accruals_zscore,Momentum12_1_zscore,NetDebtEBITDA_zscore,SUE_zscore,AnalystRevision_zscore,AnalystDispersion_zscore,RevisionBreadth_zscore,Beta_zscore,IVOL_zscore,ShortInterestRatio_zscore,InstOwnershipChg_zscore,Turnover_zscore,AmihudIlliquidity_zscore,High52W_Proximity_zscore,MaxDailyReturn_zscore,ReturnSkewness_zscore,ImpliedEPSGrowth_zscore,QRevGrowthYoY_zscore,AnalystCoverageChg_zscore
EarningsYield_zscore,1.0,-0.0594979737585372,-0.06029830814539641,0.40696233634737017,-0.21058898500781686,-0.025621545518995568,0.16516740662875334,-0.10706430283599509,-0.16408534888612467,-0.08834588801216074,-0.057745639808671735,-0.1520630877236333,-0.06219649315290086,-0.013354202361013241,-0.08224827423180099,-0.06214973609958523,-0.09021667364400408,-0.10419741768587308,-0.028781050861585812,-0.2091547854005175,-0.17039439495681657,-0.03319521040528587
GrossProfitability_zscore,-0.0594979737585372,1.0,-0.0017398334772312973,-0.1856510059861081,0.07901136666985063,-0.17516079239069032,0.10220335598630018,0.04167464022744462,-0.1093423541661825,0.04981378452234272,-0.02799492870706758,0.09865618568419346,0.13898585216940487,-0.009746105763325397,0.07998977710325451,-0.00034144771277789523,0.003133189196413364,0.04594289459383195,0.003056705848477889,-0.015737319724548636,-0.0052488680366086105,0.01672175542051263
AssetGrowth_zscore,-0.06029830814539641,-0.0017398334772312973,1.0,0.03917430295715406,0.07180975826167274,0.02851220950681837,-0.027858437489563508,-0.003265893096038985,0.09159931263410223,0.0011282558161876484,0.11849431575036326,0.20691913812493923,0.12764890444048888,0.01825859027447587,0.1669686226328883,0.06298906358878281,-0.059469479819081184,0.14486342262603807,0.014902892887313026,0.07532635494597782,0.33285882940286243,0.0325734761347782
Accruals_zscore,0.40696233634737017,-0.1856510059861081,0.03917430295715406,1.0,-0.05755591254273866,-0.004033111255089179,0.10663096065671432,-0.035805060002273154,-0.16750686804384526,-0.044963965971726146,-0.08826695143261949,-0.19176269272676824,-0.04514705949301349,0.00606861489174341,-0.16201693526482958,0.05520628381113686,0.04857290551157174,-0.10660549893314535,-0.0043576505317329765,-0.13566348311127377,-0.05128991244706025,-0.0043695492102684315
Momentum12_1_zscore,-0.21058898500781686,0.07901136666985063,0.07180975826167274,-0.05755591254273866,1.0,-0.0811063375517258,0.03868666413547639,0.23455844067434936,-0.04068144761075173,0.23530405955931766,-0.01243729972785041,0.0694732571440973,-0.024013954477864297,-0.006855401122118965,0.048602718978370846,-0.0407195616364713,0.4092545849030081,-0.009531766548822419,-0.057698650904292756,0.01908769110888881,0.23100498469517552,0.023219923760419422
NetDebtEBITDA_zscore,-0.025621545518995568,-0.17516079239069032,0.02851220950681837,-0.004033111255089179,-0.0811063375517258,1.0,-0.01921036007444618,-0.027320739288944396,0.02091571376963237,-0.03407028786451189,-0.14919000819561248,-0.0593795061885002,-0.03135837483101193,0.011478873709667818,-0.040625772189366034,-0.012328608815254804,-0.010606843623169932,-0.06351380949507693,-0.010843939935009393,0.004761722902125444,-0.05373379505001621,0.0053436702705073605
SUE_zscore,0.16516740662875334,0.10220335598630018,-0.027858437489563508,0.10663096065671432,0.03868666413547639,-0.01921036007444618,1.0,0.19030520238129195,-0.21792355378764255,0.08652388919235543,-0.1253918941105209,-0.1493278567088374,-0.10871744306216052,-0.009286065097261889,-0.15702904014607502,-0.1477095010784458,0.10862542401755054,-0.10927170474818974,-0.04150910189918713,-0.2019052928731062,0.017597327042588835,-0.009805279784919173
AnalystRevision_zscore,-0.10706430283599509,0.04167464022744462,-0.003265893096038985,-0.035805060002273154,0.23455844067434936,-0.027320739288944396,0.19030520238129195,1.0,-0.06568572897842445,0.27704559726815065,-0.004389497235566497,-0.015333562974286275,-0.048310358475880465,0.002708375481903014,-0.019067598628676307,-0.03294918725058,0.25583067180680674,-0.014783048231599778,-0.007827669999356055,-0.09268984971849432,0.10724137840123871,0.06127969182618439
AnalystDispersion_zscore,-0.16408534888612467,-0.1093423541661825,0.09159931263410223,-0.16750686804384526,-0.04068144761075173,0.02091571376963237,-0.21792355378764255,-0.06568572897842445,1.0,-0.08874576477454889,0.2832483986176924,0.3194450138821062,0.1407731018673765,0.0023391453639597295,0.28604384014851475,0.06155137129433333,-0.15584083630963788,0.2262277518247586,0.04472054302941979,0.5164279746362517,0.0739763464777991,0.00044707524463548153
RevisionBreadth_zscore,-0.08834588801216074,0.04981378452234272,0.0011282558161876484,-0.044963965971726146,0.23530405955931766,-0.03407028786451189,0.08652388919235543,0.27704559726815065,-0.08874576477454889,1.0,-0.018586005210803603,-0.02577473623452048,-0.03903298451952954,-0.01223026659426941,-0.03414517401847193,-0.032196933957080606,0.2155839659761396,0.011517555220877268,0.05345209549892401,-0.08175983803188935,0.06634359041773824,0.021347736704821957
Beta_zscore,-0.057745639808671735,-0.02799492870706758,0.11849431575036326,-0.08826695143261949,-0.01243729972785041,-0.14919000819561248,-0.1253918941105209,-0.004389497235566497,0.2832483986176924,-0.018586005210803603,1.0,0.4697267699594294,0.1651869449395037,-0.010830140574827812,0.411470010381041,0.21368996239364643,-0.22414840684335546,0.4280329921128399,0.08455268728406816,0.23867050937282086,0.10963591678713262,0.00029528581053580503
